PRODUTO;NOME_GENERICO;NOME_MEDICAMENTO;QUANTIDADE;FAIXA_ETARIA;REG_INFARMED;AREA_TERAPEUTICA;LOTE;Dosagem;TEMPERATURA;PRECO;ADMINISTRACAO;RECEITA;GENERICO;FORMATO
1001;Atenolol;Atenolol Corzil;12;6;537632076;13;;100 mg;0;133,00;2;1;1;56
1002;Atenolol;Atenolol Corzil;12;4;670819588;19;;50 mg;4;41,00;2;1;1;56
1003;Atenolol;Atenolol Generis 100 mg Comprimidos Revestidos;4;0;842829701;11;;100 mg;5;113,00;2;1;1;55
1004;Atenolol;Atenolol Generis 50 mg Comprimidos Revestidos;8;11;591060813;11;;50 mg;3;12,00;2;1;1;55
1005;Atenolol;Atenolol Mylan;2;2;415581344;3;;100 mg;3;13,00;2;1;1;41
1006;Atenolol;Atenolol Mylan;12;7;102274316;10;;50 mg;7;93,00;2;1;1;41
1007;Atenolol;Atenolol Ratiopharm 100 mg Comprimidos Revestidos;3;7;154808042;10;;100 mg;5;133,00;2;1;1;55
1008;Atenolol;Atenolol Ratiopharm 50 mg Comprimidos Revestidos;14;4;104360935;2;;50 mg;2;137,00;2;1;1;55
1009;Atenolol;Atenolol Sandoz;3;0;220646392;5;;100 mg;6;52,00;2;1;1;56
1010;Atenolol;Atenolol Sandoz;15;2;70118761;16;;50 mg;6;85,00;2;1;1;56
1011;Atenolol;Tenormin;5;5;390505797;16;;100 mg;0;104,00;2;0;0;56
1012;Atenolol;Tenormin Mite;13;9;733466563;11;;50 mg;5;31,00;2;0;0;56
1013;Atenolol + Clorotalidona;Tenoretic;11;11;572850923;16;;100 mg + 25 mg;5;119,00;2;0;0;55
1014;Atenolol + Clorotalidona;Tenoretic Mite;15;7;754369933;2;;50 mg + 12.5 mg;7;146,00;2;0;0;55
1015;Atomoxetina;Strattera;14;0;142359439;8;;10 mg;7;94,00;2;0;0;28
1016;Atomoxetina;Strattera;6;1;944050154;7;;100 mg;5;91,00;2;0;0;28
1017;Atomoxetina;Strattera;11;4;289832536;5;;18 mg;5;50,00;2;0;0;28
1018;Atomoxetina;Strattera;6;1;383543640;14;;25 mg;5;24,00;2;0;0;28
1019;Atomoxetina;Strattera;9;1;587268714;2;;40 mg;6;108,00;2;0;0;28
1020;Atomoxetina;Strattera;4;11;664449591;1;;60 mg;3;72,00;2;0;0;28
1021;Atomoxetina;Strattera;5;3;591602365;7;;80 mg;4;111,00;2;0;0;28
1022;Atorvastatina;Atorvastatina APS;13;9;229640515;5;;10 mg;6;89,00;2;1;1;56
1023;Atorvastatina;Atorvastatina APS;14;11;60485792;16;;20 mg;2;149,00;2;1;1;56
1024;Atorvastatina;Atorvastatina APS;3;8;636468904;0;;40 mg;7;144,00;2;1;1;56
1025;Atorvastatina;Atorvastatina APS;3;8;972163422;17;;80 mg;5;48,00;2;1;1;56
1026;Atorvastatina;Atorvastatina Alter;11;5;2010448;9;;10 mg;7;30,00;2;1;1;56
1027;Atorvastatina;Atorvastatina Alter;4;11;346513638;4;;20 mg;0;137,00;2;1;1;56
1028;Atorvastatina;Atorvastatina Alter;11;6;575502281;20;;40 mg;7;31,00;2;1;1;56
1029;Atorvastatina;Atorvastatina Alter;13;8;651516321;0;;80 mg;5;30,00;2;1;1;56
1030;Atorvastatina;Atorvastatina Apotex;8;6;980750161;9;;10 mg;2;30,00;2;1;1;56
1031;Atorvastatina;Atorvastatina Apotex;4;4;228283518;18;;20 mg;1;80,00;2;1;1;56
1032;Atorvastatina;Atorvastatina Apotex;12;4;299407791;13;;40 mg;0;62,00;2;1;1;56
1033;Atorvastatina;Atorvastatina Apotex;1;9;522766440;16;;80 mg;3;65,00;2;1;1;56
1034;Atorvastatina;Atorvastatina Arrowblue;3;7;488081060;10;;10 mg;5;19,00;2;1;1;56
1035;Atorvastatina;Atorvastatina Arrowblue;13;11;911081629;4;;20 mg;7;56,00;2;1;1;56
1036;Atorvastatina;Atorvastatina Arrowblue;12;4;121489866;2;;40 mg;0;98,00;2;1;1;56
1037;Atorvastatina;Atorvastatina Arrowblue;5;5;66808485;1;;80 mg;4;120,00;2;1;1;56
1038;Atorvastatina;Atorvastatina Atorvan;1;0;189114308;9;;10 mg;0;5,00;2;1;1;56
1039;Atorvastatina;Atorvastatina Atorvan;7;5;121753004;14;;20 mg;5;141,00;2;1;1;56
1040;Atorvastatina;Atorvastatina Atorvan;5;2;177510803;13;;40 mg;4;76,00;2;1;1;56
1041;Atorvastatina;Atorvastatina Atorvan;2;2;909372585;3;;80 mg;5;28,00;2;1;1;56
1042;Atorvastatina;Atorvastatina Avarte;8;10;631164302;17;;10 mg;3;47,00;2;1;1;56
1043;Atorvastatina;Atorvastatina Avarte;8;8;470626760;11;;20 mg;4;44,00;2;1;1;56
1044;Atorvastatina;Atorvastatina Avarte;12;10;512472593;5;;40 mg;5;37,00;2;1;1;56
1045;Atorvastatina;Atorvastatina Avarte;4;9;10440771;2;;80 mg;5;64,00;2;1;1;56
1046;Atorvastatina;Atorvastatina Azevedos;8;6;856135084;4;;10 mg;2;65,00;2;1;1;56
1047;Atorvastatina;Atorvastatina Azevedos;2;6;853211422;18;;20 mg;7;48,00;2;1;1;56
1048;Atorvastatina;Atorvastatina Azevedos;9;6;228808750;14;;40 mg;7;83,00;2;1;1;56
1049;Atorvastatina;Atorvastatina Azevedos;10;2;565778513;0;;80 mg;0;17,00;2;1;1;56
1050;Atorvastatina;Atorvastatina Bluval;13;7;886879671;11;;10 mg;5;105,00;2;1;1;56
1051;Atorvastatina;Atorvastatina Bluval;3;7;278050597;9;;20 mg;0;145,00;2;1;1;56
1052;Atorvastatina;Atorvastatina Bluval;4;5;182585528;4;;40 mg;4;129,00;2;1;1;56
1053;Atorvastatina;Atorvastatina Bluval;3;10;545141131;11;;80 mg;3;18,00;2;1;1;56
1054;Atorvastatina;Atorvastatina Daquimed;13;2;376471579;6;;10 mg;6;41,00;2;1;1;56
1055;Atorvastatina;Atorvastatina Daquimed;5;11;76101475;6;;20 mg;0;31,00;2;1;1;56
1056;Atorvastatina;Atorvastatina Daquimed;3;1;136964280;10;;40 mg;0;50,00;2;1;1;56
1057;Atorvastatina;Atorvastatina Daquimed;4;4;255168681;7;;80 mg;2;36,00;2;1;1;56
1058;Atorvastatina;Atorvastatina Epilix;4;10;302788924;14;;10 mg;4;47,00;2;1;1;56
1059;Atorvastatina;Atorvastatina Epilix;10;8;53433469;8;;20 mg;1;63,00;2;1;1;56
1060;Atorvastatina;Atorvastatina Epilix;15;6;248651946;8;;40 mg;3;133,00;2;1;1;56
1061;Atorvastatina;Atorvastatina Epilix;5;10;458369679;3;;80 mg;7;95,00;2;1;1;56
1062;Atorvastatina;Atorvastatina Farmoz;5;0;332160590;11;;10 mg;5;36,00;2;1;1;56
1063;Atorvastatina;Atorvastatina Farmoz;15;9;956810017;3;;20 mg;5;48,00;2;1;1;56
1064;Atorvastatina;Atorvastatina Farmoz;1;4;827551290;12;;40 mg;2;133,00;2;1;1;56
1065;Atorvastatina;Atorvastatina Farmoz;12;5;885354473;19;;80 mg;7;65,00;2;1;1;56
1066;Atorvastatina;Atorvastatina Gator;10;0;936365243;8;;10 mg;3;148,00;2;1;1;56
1067;Atorvastatina;Atorvastatina Gator;15;3;945797359;9;;20 mg;6;27,00;2;1;1;56
1068;Atorvastatina;Atorvastatina Gator;6;2;102803375;14;;40 mg;5;83,00;2;1;1;56
1069;Atorvastatina;Atorvastatina Gator;3;11;547547185;14;;80 mg;6;3,00;2;1;1;56
1070;Atorvastatina;Atorvastatina Generis;13;11;34953474;5;;10 mg;6;145,00;2;1;1;56
1071;Atorvastatina;Atorvastatina Generis;7;10;873224779;0;;20 mg;1;14,00;2;1;1;56
1072;Atorvastatina;Atorvastatina Generis;2;7;882154689;14;;40 mg;2;135,00;2;1;1;56
1073;Atorvastatina;Atorvastatina Generis;15;2;427004734;13;;80 mg;3;18,00;2;1;1;56
1074;Atorvastatina;Atorvastatina Grena;15;2;728832438;7;;10 mg;1;3,00;2;1;1;56
1075;Atorvastatina;Atorvastatina Grena;8;6;56816414;13;;20 mg;1;137,00;2;1;1;56
1076;Atorvastatina;Atorvastatina Grena;14;5;872508581;6;;40 mg;5;116,00;2;1;1;56
1077;Atorvastatina;Atorvastatina Helm;6;1;913790088;5;;10 mg;2;4,00;2;1;1;56
1078;Atorvastatina;Atorvastatina Helm;10;7;680105257;0;;20 mg;4;149,00;2;1;1;56
1079;Atorvastatina;Atorvastatina Helm;15;1;122225638;3;;40 mg;3;75,00;2;1;1;56
1080;Atorvastatina;Atorvastatina Helm;1;4;734643476;8;;80 mg;7;149,00;2;1;1;56
1081;Atorvastatina;Atorvastatina Kalcor 10 mg Comprimidos;10;7;187664110;2;;10 mg;1;11,00;2;1;1;56
1082;Atorvastatina;Atorvastatina Kalcor 20 mg Comprimidos;10;0;987989334;13;;20 mg;4;45,00;2;1;1;56
