PRODUTO;CONSTITUINTE
6597;17
10277;86
824;235
13165;230
7831;244
12034;172
6172;280
7355;24
4561;210
10070;168
10786;149
2625;294
11846;302
8496;111
9087;74
5261;281
1490;175
10807;283
13460;277
11165;166
13007;238
2070;2
813;15
5828;63
8939;205
13409;27
4720;271
11774;16
1643;148
2385;89
3954;23
8182;247
11132;142
10680;111
11262;92
2260;117
8206;238
1598;205
1297;259
10321;228
14052;234
5443;63
2662;72
10613;210
6664;207
11432;173
7285;218
4986;120
1348;79
3283;275
13914;236
3029;167
38;151
1535;92
6079;213
8043;28
11551;278
5994;88
5163;256
10299;249
8831;3
4617;149
11229;228
7090;47
9523;94
8974;68
9581;216
9152;123
13460;310
12628;47
4237;319
9235;244
8145;133
10588;146
11266;245
6225;27
1544;169
4384;249
13250;226
5881;130
9166;33
521;174
4199;151
12232;160
14088;318
5172;229
2514;170
2688;87
11758;184
7191;107
9700;200
8161;226
589;185
2265;50
7855;80
4626;175
7257;83
2672;263
648;60
3130;15
6415;188
7000;86
12200;196
11228;231
10335;236
4826;136
8279;3
13645;278
11447;150
14065;122
9600;10
13040;63
10218;285
2089;25
9057;275
12899;93
4085;261
9579;111
5225;151
8736;220
6219;283
12141;45
1851;84
10496;205
1991;174
10118;101
9717;12
6907;37
4107;116
13572;145
5492;270
12638;71
6331;161
3626;261
3400;50
9533;261
11355;17
9516;292
4324;131
4970;66
1988;169
1581;15
5298;41
7930;9
6868;109
3159;291
5311;271
13148;303
6253;246
4629;30
1025;159
6023;303
3938;85
2472;251
2424;93
889;176
12257;297
3445;139
10776;269
12408;68
11912;56
10694;92
10091;22
5463;76
1730;282
6994;169
6431;262
6199;254
11547;70
13124;282
13202;23
14023;160
3507;234
2919;14
13552;97
13143;62
11298;5
12069;58
13637;54
612;113
4364;251
11891;6
3551;221
4462;187
12813;149
3933;157
13827;302
6334;104
1147;166
5826;50
12189;219
13769;130
9326;1
2211;163
11013;170
6370;200
10096;23
3531;204
9602;308
2777;58
10221;207
3436;311
14145;82
8116;172
11919;205
10675;233
2988;219
558;176
14207;130
2627;214
9169;43
1558;59
7714;64
9254;294
