PRODUTO;NOME_GENERICO;NOME_MEDICAMENTO;QUANTIDADE;FAIXA_ETARIA;REG_INFARMED;AREA_TERAPEUTICA;LOTE;Dosagem;TEMPERATURA;PRECO;ADMINISTRACAO;RECEITA;GENERICO;FORMATO
6000;Granissetrom;Granissetrom Hikma;7;4;293975104;12;;3 mg/3 ml;2;73,00;3;1;1;65
6001;Granissetrom;Granissetrom Hikma;6;6;248653942;14;;1 mg/1 ml;7;4,00;1;1;1;177
6002;Granissetrom;Granissetrom Kabi;1;9;556911708;18;;1 mg/1 ml;0;6,00;3;1;1;63
6003;Granissetrom;Granissetrom Kabi;3;11;20529759;10;;3 mg/3 ml;6;14,00;3;1;1;63
6004;Granissetrom;Granissetrom Normon;3;9;185215509;2;;1 mg/1 ml;5;30,00;12;1;1;177
6005;Granissetrom;Granissetrom Normon;7;9;280521995;9;;3 mg/3ml;6;32,00;9;1;1;177
6006;Granissetrom;Granissetrom Orchid Europe;15;0;814756919;7;;1 mg;7;126,00;2;1;1;56
6007;Granissetrom;Granissetrom Orchid Europe;12;9;897064501;0;;2 mg;2;94,00;2;1;1;56
6008;Granissetrom;Granissetrom Sandoz;7;1;741912490;7;;1 mg/1 ml;6;116,00;3;1;1;65
6009;Granissetrom;Granissetrom Sandoz;11;11;648500765;2;;3 mg/3 ml;7;79,00;3;1;1;65
6010;Granissetrom;Granissetrom Stada;13;2;710755345;11;;1 mg/1 ml;1;29,00;3;1;1;63
6011;Granissetrom;Granissetrom Stada;1;10;371239102;0;;3 mg/3 ml;2;131,00;3;1;1;63
6012;Granissetrom;Granissetrom Stada;2;3;516443888;8;;1 mg;1;136,00;2;1;1;56
6013;Granissetrom;Granissetrom Stada;15;9;514458829;16;;2 mg;2;128,00;2;1;1;56
6014;Granissetrom;Granissetrom Teva;2;3;871940121;15;;1 mg;3;76,00;2;1;1;56
6015;Granissetrom;Granissetrom Teva;13;3;238340457;9;;2 mg;4;137,00;2;1;1;56
6016;Granissetrom;Granissetrom Teva;11;9;26241699;5;;1 mg/1 ml;7;135,00;3;1;1;65
6017;Granissetrom;Granissetrom Teva;2;4;613228666;16;;3 mg/3 ml;1;37,00;3;1;1;65
6018;Granissetrom;Granissetrom Torptur;2;8;425497173;7;;1 mg;7;114,00;2;1;1;56
6019;Granissetrom;Granissetrom Torptur;2;3;765901362;18;;2 mg;0;107,00;2;1;1;56
6020;Granissetrom;Granissterom Capsifar;6;0;892281370;3;;3 mg/3 ml;3;76,00;4;1;1;177
6021;Granissetrom;Kytril;2;11;697119123;10;;1 mg;7;111,00;2;0;0;55
6022;Granissetrom;Kytril;12;7;414604273;13;;2 mg;1;59,00;2;0;0;55
6023;Granissetrom;Kytril;11;7;481867182;17;;1 mg/1 ml;5;134,00;3;0;0;177
6024;Granissetrom;Kytril;3;6;26079618;0;;3 mg/3 ml;3;132,00;6;0;0;177
6025;Guaifenesina;Vicks Xarope Expectorante;6;9;975318345;12;;13.33 mg/ml;7;78,00;8;0;0;215
6026;Guaifenesina + Salbutamol;Propavente;8;10;940783897;6;;10 mg/ml + 0.2 mg/ml;2;81,00;14;0;0;215
6027;Halazepam;Pacinone;1;7;99007410;18;;120 mg;4;6,00;2;0;0;41
6028;Halazepam;Pacinone;14;3;807864267;1;;40 mg;2;105,00;2;0;0;41
6029;Halofantrina;Halfan;12;3;845114189;19;;250 mg;0;133,00;2;0;0;41
6030;Halofantrina;Halfan;10;9;276584185;15;;20 mg/ml;3;6,00;14;0;0;207
6031;Haloperidol;Haldol;3;7;921218415;20;;1 mg;5;52,00;2;0;0;41
6032;Haloperidol;Haldol;11;3;990057347;4;;10 mg;3;18,00;2;0;0;41
6033;Haloperidol;Haldol;10;7;550444962;19;;2 mg;3;110,00;2;0;0;41
6034;Haloperidol;Haldol;15;11;935621863;14;;5 mg;5;142,00;2;0;0;41
6035;Haloperidol;Haldol;5;3;745924516;4;;2 mg/ml;2;51,00;5;0;0;180
6036;Haloperidol;Haldol Decanoato;8;9;101642863;8;;100 mg/1 ml;1;44,00;5;0;0;177
6037;Haloperidol;Haldol Decanoato;7;2;495084161;19;;50 mg/1 ml;2;82,00;14;0;0;177
6038;Haloperidol;Haloperidol Ratiopharm 5 mg/ml Solucao Injectavel;5;3;702322545;11;;5 mg/1 ml;4;146,00;10;1;1;177
6039;Hemina;Normosang;8;8;146545585;4;;250 mg/10 ml;4;87,00;3;0;0;65
6040;Heparina sodica;Heparina Leo;8;9;809939823;14;;25000 U.I./5 ml;7;98,00;13;0;0;177
6041;Heparina sodica;Heparina Sodica B Braun;2;3;805575643;0;;25000 U.I./5 ml;6;117,00;10;0;0;177
6042;Heparina sodica;Heparina Winthrop;3;2;128311930;9;;25000 U.I./5 ml;1;84,00;1;0;0;177
6043;Heparina sodica + Salicilato de dietilamina + Mentol;Dm Gel;8;8;352189671;18;;50 U.I./g + 100 mg/g + 2 mg/g;4;94,00;7;0;0;86
6044;Hesperidina + Ruscus aculeatus + acido ascorbico;Cyclo 3;14;6;463896345;20;;150 mg + 150 mg + 100 mg;7;104,00;2;0;0;28
6045;Hexafluoreto de enxofre;Sonovue;2;2;115401247;18;;8 µg/ml;1;66,00;3;0;0;142
6046;Hexetidina;Collu-Hextril;5;2;518362414;13;;2 mg/ml;5;94,00;2;0;0;194
6047;Hexetidina;Hextril;2;11;745720399;20;;1 mg/ml;4;30,00;12;0;0;172
6048;Hexetidina;Hextril;4;5;776841533;12;;1 mg/ml;5;36,00;11;0;0;172
6049;Hidroclorotiazida + Amilorida;Amiloride + Hidroclorotiazida Ratiopharm 5 mg e 50 mg Comprimidos;10;2;594223878;13;;50 mg + 5 mg;6;49,00;2;1;1;41
6050;Hidroclorotiazida + Amilorida;Moduretic;9;3;827005282;12;;50 mg + 5 mg;2;120,00;2;0;0;41
6051;Hidroclorotiazida + Espironolactona;Ondolen Forte;4;9;242758131;19;;50 mg + 50 mg;6;79,00;2;0;0;41
6052;Hidroclorotiazida + Triamtereno;Dyazide;9;0;98318277;15;;25 mg + 50 mg;3;129,00;2;0;0;41
6053;Hidroclorotiazida + Triamtereno;Triam Tiazida R;8;6;575030434;15;;50 mg + 100 mg;0;135,00;2;0;0;41
6054;Hidrocortisona;Colifoam;11;9;110811778;19;;105 mg/g;7;2,00;12;0;0;80
6055;Hidrocortisona;Hidalone;10;5;2221089;4;;10 mg/g;7;72,00;1;0;0;67
6056;Hidrocortisona;Hidalone;2;10;914361941;12;;10 mg/g;3;132,00;13;0;0;165
