PRODUTO;NOME_GENERICO;NOME_MEDICAMENTO;QUANTIDADE;FAIXA_ETARIA;REG_INFARMED;AREA_TERAPEUTICA;LOTE;Dosagem;TEMPERATURA;PRECO;ADMINISTRACAO;RECEITA;GENERICO;FORMATO
2001;Carvedilol;Carvedilol Ciclum 3,125 mg Comprimidos;2;2;706730173;3;;3.125 mg;7;81,00;2;1;1;41
2002;Carvedilol;Carvedilol Ciclum 6,25 mg Comprimidos;4;7;953945791;20;;6.25 mg;7;47,00;2;1;1;41
2003;Carvedilol;Carvedilol Cinfa;9;7;288983648;3;;25 mg;7;42,00;2;1;1;41
2004;Carvedilol;Carvedilol Cinfa;4;8;762741359;18;;6.25 mg;2;67,00;2;1;1;41
2005;Carvedilol;Carvedilol Coronat 25 mg Comprimidos;5;0;651190141;0;;25 mg;2;36,00;2;1;1;41
2006;Carvedilol;Carvedilol Coronat 6,25 mg Comprimidos;7;5;955726022;7;;6.25 mg;4;60,00;2;1;1;41
2007;Carvedilol;Carvedilol Dinertone;14;6;583005568;5;;12.5 mg;0;136,00;2;1;1;41
2008;Carvedilol;Carvedilol Dinertone;8;3;407143206;8;;25 mg;1;102,00;2;1;1;41
2009;Carvedilol;Carvedilol Dinertone;6;1;385973788;9;;6.25 mg;2;63,00;2;1;1;41
2010;Carvedilol;Carvedilol Farmoz 25 mg Comprimidos;7;9;938081600;15;;25 mg;2;121,00;2;1;1;41
2011;Carvedilol;Carvedilol Farmoz 6,25 mg Comprimidos;13;4;402167109;17;;6.25 mg;0;146,00;2;1;1;41
2012;Carvedilol;Carvedilol GP;7;4;505156290;10;;12.5 mg;3;124,00;2;1;1;41
2013;Carvedilol;Carvedilol GP;13;9;250490395;16;;25 mg;1;63,00;2;1;1;41
2014;Carvedilol;Carvedilol GP;7;9;99117370;17;;6.25 mg;0;106,00;2;1;1;41
2015;Carvedilol;Carvedilol Generis;5;9;829079679;4;;12.5 mg;3;148,00;2;1;1;41
2016;Carvedilol;Carvedilol Generis;6;8;220191567;17;;25 mg;6;46,00;2;1;1;41
2017;Carvedilol;Carvedilol Generis;13;7;737947467;1;;6.25 mg;1;90,00;2;1;1;41
2018;Carvedilol;Carvedilol Glob;15;9;819614127;13;;12.5 mg;1;8,00;2;1;1;56
2019;Carvedilol;Carvedilol Glob;5;3;472832735;18;;25 mg;5;70,00;2;1;1;56
2020;Carvedilol;Carvedilol Glob;3;10;521828351;13;;3.125 mg;6;65,00;2;1;1;56
2021;Carvedilol;Carvedilol Glob;8;6;431147885;12;;6.25 mg;7;24,00;2;1;1;56
2022;Carvedilol;Carvedilol Inventis;14;9;455705873;13;;12.5 mg;3;10,00;2;1;1;41
2023;Carvedilol;Carvedilol Inventis;9;8;751659928;10;;25 mg;4;132,00;2;1;1;41
2024;Carvedilol;Carvedilol Inventis;10;2;712331165;0;;6.25 mg;4;40,00;2;1;1;41
2025;Carvedilol;Carvedilol Jaba 25 mg Comprimidos;14;0;306901874;5;;25 mg;4;44,00;2;1;1;41
2026;Carvedilol;Carvedilol Jaba 6,25 mg Comprimidos;13;10;356817061;14;;6.25 mg;5;130,00;2;1;1;41
2027;Carvedilol;Carvedilol Krka;6;4;855564796;7;;25 mg;7;127,00;2;1;1;41
2028;Carvedilol;Carvedilol Krka;11;11;142460820;20;;6.25 mg;0;138,00;2;1;1;41
2029;Carvedilol;Carvedilol Labesfal 12,5 mg Comprimidos;3;9;824034928;12;;12.5 mg;7;140,00;2;1;1;41
2030;Carvedilol;Carvedilol Labesfal 25 mg Comprimidos;2;7;798858673;16;;25 mg;2;62,00;2;1;1;41
2031;Carvedilol;Carvedilol Labesfal 6.25 mg Comprimidos;15;2;263054750;16;;6.25 mg;3;126,00;2;1;1;41
2032;Carvedilol;Carvedilol Mylan;13;6;88460794;3;;12.5 mg;1;136,00;2;1;1;56
2033;Carvedilol;Carvedilol Mylan;11;9;618342582;11;;25 mg;0;111,00;2;1;1;56
2034;Carvedilol;Carvedilol Mylan;13;0;822789798;0;;6.25 mg;1;66,00;2;1;1;56
2035;Carvedilol;Carvedilol Normon;9;4;334210270;4;;25 mg;3;119,00;2;1;1;41
2036;Carvedilol;Carvedilol Normon;11;6;476229040;8;;6.25 mg;0;67,00;2;1;1;41
2037;Carvedilol;Carvedilol Parke-Davis;10;9;691393702;0;;25 mg;6;102,00;2;1;1;56
2038;Carvedilol;Carvedilol Parke-Davis;8;1;713033076;14;;6.25 mg;1;46,00;2;1;1;56
2039;Carvedilol;Carvedilol Ranbaxy;10;8;52979789;16;;12.5 mg;3;89,00;2;1;1;41
2040;Carvedilol;Carvedilol Ranbaxy;9;0;686987159;6;;25 mg;4;65,00;2;1;1;41
2041;Carvedilol;Carvedilol Ranbaxy;5;11;272805022;9;;6.25 mg;7;86,00;2;1;1;41
2042;Carvedilol;Carvedilol Ratiopharm;14;10;675807047;10;;25 mg;2;3,00;2;1;1;56
2043;Carvedilol;Carvedilol Ratiopharm;14;11;439172305;15;;6.25 mg;2;140,00;2;1;1;56
2044;Carvedilol;Carvedilol Sandoz;7;0;2390027;13;;50 mg;7;31,00;2;0;0;41
2045;Carvedilol;Carvedilol Sandoz 12,5 mg Comprimidos;1;1;606413116;18;;12.5 mg;4;24,00;2;1;1;41
2046;Carvedilol;Carvedilol Sandoz 25 mg Comprimidos;11;9;481030540;18;;25 mg;5;45,00;2;1;1;41
2047;Carvedilol;Carvedilol Sandoz 3,125 mg Comprimidos;4;11;329889855;7;;3.125 mg;7;9,00;2;1;1;41
2048;Carvedilol;Carvedilol Sandoz 6,25 mg Comprimidos;9;10;212467180;15;;6.25 mg;4;57,00;2;1;1;41
